S No,Cargo Code,Cargo Description,Cargo Category Name,Cargo Short Name,Cargo Sub Category Name,Cargo Type Name,HS Code,Principal Commodity Name,SoR No. Code,Status,DSCHRG_RATE_PR_DAY,LD_RATE_PR_DAY
153,C72141090,STEEDL RODS AND BARS OTHERS,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,72141090,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
154,C72149910,STEEL ROUND BAR,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,72149910,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
155,C72149990,HOT ROLLED STEEL ROUND BAR,BREAK BULK,SBAR,IRON AND STEEL CARGO,Packaged,72149990,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
156,C72163300,HR STEEL BEAM,BREAK BULK,SPLAT,IRON AND STEEL CARGO,Packaged,72163300,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
157,C72163320,STRUCTURAL STEEL – ROLLED SECTIONS,BREAK BULK,STEELOTH,PROJECT CARGO,Packaged,72163320,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
158,C72169930,ANGLES AND CHANNELS,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,72169930,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
159,C72172010,Steel wire rod coil,BREAK BULK,SWRCOIL,GENERAL CARGO,Packaged,72172010,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
160,C72191200,HOT ROLLED STAINLESS STEEL,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72191200,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
161,C72191300,HOT ROLLED STAINLESS STEEL COILS,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72191300,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
162,C72192111,STEEL SHEETS,BREAK BULK,STLSHEET,IRON AND STEEL CARGO,Packaged,72192111,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
163,C72192112,STEEL SHEETS,BREAK BULK,STLSHEET,IRON AND STEEL CARGO,Packaged,72192112,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
164,C72192190,STAINLESS STEEL SHEET,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,72192190,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
165,C72192299,STAINLESS STEEL SHEET,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,72192299,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
166,C72192490,HOT ROLLED STEEL COILS,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72192490,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
167,C72193290,STAINLESS STEEL SHEET,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,72193290,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
168,C72193310,CR COILS,BREAK BULK,CRCOIL,IRON AND STEEL CARGO,Packaged,72193310,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
169,C72193390,CR STEEL SHEET IN COIL,BREAK BULK,CRCOIL,IRON AND STEEL CARGO,Packaged,72193390,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
170,C72193410,CR COILS,BREAK BULK,CRCOIL,IRON AND STEEL CARGO,Packaged,72193410,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
171,C72193490,CR STEEL SHEET IN COIL,BREAK BULK,CRCOIL,IRON AND STEEL CARGO,Packaged,72193490,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
172,C72249010,BLOOM (steel),BREAK BULK,SBLOOM,IRON AND STEEL CARGO,Packaged,72249010,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
173,C72251100,CR ELECTRICAL STEEL  COIL,BREAK BULK,CRCOIL,IRON AND STEEL CARGO,Packaged,72251100,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
174,C72251920,CR STEEL COIL,BREAK BULK,CRCOIL,IRON AND STEEL CARGO,Packaged,72251920,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
175,C72251990,FLAT-ROLLED  ALLOY STEEL– OTHER,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,72251990,Other Misc. Cargo,,ACTIVE,2500,2500
176,C72253090,PICKLING & OILING COIL,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72253090,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
177,C72254012,CARBON STEEL PLATES,BREAK BULK,SPLAT,IRON AND STEEL CARGO,Packaged,72254012,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
178,C72254013,HOT ROLLED HIGH TENSILE STEEL PLATE,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72254013,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
179,C72254019,HOT ROLLED STEEL PLATES,BREAK BULK,SPLAT,IRON AND STEEL CARGO,Packaged,72254019,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
180,C72255010,CR STEEL COIL,BREAK BULK,CRCOIL,IRON AND STEEL CARGO,Packaged,72255010,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
181,C72259190,ELCTRO GALV STEEL COIL,BREAK BULK,SCOIL,IRON AND STEEL CARGO,Packaged,72259190,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
182,C72259210,GALV STEEL COIL,BREAK BULK,SCOIL,IRON AND STEEL CARGO,Packaged,72259210,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
183,C72259290,GALVANNEALED STEEL SHEET IN COIL,BREAK BULK,SCOIL,IRON AND STEEL CARGO,Packaged,72259290,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
184,C72259910,ALUMINUM COATED STEEL SHEET IN COIL,BREAK BULK,SCOIL,IRON AND STEEL CARGO,Packaged,72259910,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
185,C72259990,AL-SI PLATING COIL,BREAK BULK,SCOIL,IRON AND STEEL CARGO,Packaged,72259990,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
186,C72261990,COLD ROLLED NON GRAIN ORIENTED ELECTRICAL STEEL COILS,BREAK BULK,CRCOIL,GENERAL CARGO,Packaged,72261990,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
187,C72279040,STEEL WIRE RODS,BREAK BULK,SWRCOIL,IRON AND STEEL CARGO,Packaged,72279040,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
188,C72279090,"BARS AND RODS,",BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,72279090,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
189,C72283019,HOT ROLLED STEEL BARS,BREAK BULK,HRCOIL,IRON AND STEEL CARGO,Packaged,72283019,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
190,C72283029,HOT ROLLED STEEL ROUND BAR,BREAK BULK,SBAR,IRON AND STEEL CARGO,Packaged,72283029,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
191,C72287011,STEEL PRODUCT,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,72287011,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
192,C73011000,SHEET PILING,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,73011000,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
193,C73021011,RAILS-HEAD HARDENED,BREAK BULK,SROD,IRON AND STEEL CARGO,Packaged,73021011,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
194,C73041110,TUBES PIPES,BREAK BULK,SPIPE,IRON AND STEEL CARGO,Packaged,73041110,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
195,C73042990,DRILLING PIPES-PREMIUM CASING,BREAK BULK,MACHWOW,MACHINERY,Packaged,73042990,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
196,C73043119,Non Alloy seamless pipes,BREAK BULK,PROJ,PROJECT CARGO,Packaged,73043119,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
197,C73043919,CS SEAMLESS STEEL PIPE,BREAK BULK,MACHWOW,MACHINERY,Packaged,73043919,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
198,C73045910,SEAMLESS STEEL PIPES,BREAK BULK,SPIPE,IRON AND STEEL CARGO,Packaged,73045910,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
199,C73045920,SEAMLESS STEEL PIPES,BREAK BULK,SPIPE,IRON AND STEEL CARGO,Packaged,73045920,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
200,C73049000,CARBON STEEL SEAMLESS PIPE,BREAK BULK,MACHWOW,IRON AND STEEL CARGO,Packaged,73049000,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
201,C73051129,CS WELDED PIPES,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,73051129,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
202,C73051921,REACTOR - PARTS,BREAK BULK,MACHWOW,MACHINERY,Packaged,73051921,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
203,C73053990,INCINERATOR,BREAK BULK,MACHWOW,MACHINERY,Packaged,73053990,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
204,C73059091,CHIMNEY STACK ASSEMBLY,BREAK BULK,MACHWOW,MACHINERY,Packaged,73059091,,3.1.1.23,ACTIVE,1000,1000
205,C73063010,NON ALLOY STEEL,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,73063010,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
206,C73065000,ALLOY STEEL MATERIALS,BREAK BULK,GENL,IRON AND STEEL CARGO,Packaged,73065000,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
207,C73066100,INCINERATOR,BREAK BULK,MACHWOW,MACHINERY,Packaged,73066100,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
208,C73066900,INCINERATOR DUCTPART,BREAK BULK,MACHWOW,MACHINERY,Packaged,73066900,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
209,C73072900,FITTINGS,BREAK BULK,MACHWOW,MACHINERY,Packaged,73072900,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
210,C73079190,TOWER FLANGES (WIND MILL PARTS),BREAK BULK,MACH,MACHINERY,Packaged,73079190,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
211,C73079910,"SHIP STORES -NOZZLE,PLANGER ASSY VALVE",BREAK BULK,SHPSTOR,GENERAL CARGO,Packaged,73079910,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
212,C73084000,EQUIPMENT FOR SCAFFOLDING,BREAK BULK,MACHWOW,MACHINERY,Packaged,73084000,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
213,C73089010,GRATING GALV IRON,BREAK BULK,GALVIRON,MACHINERY,Packaged,73089010,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
214,C73089090,STRUCTURS IRON OR STEEL,BREAK BULK,MACHWOW,MACHINERY,Packaged,73089090,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
215,C73090040,"PRESSURE VESSELS RESERVOIRS, TANKS",BREAK BULK,GENL,GENERAL CARGO,Packaged,73090040,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
216,C73090090,"FUEL TANK, RESERVOIRS, TANKS",BREAK BULK,MACHWOW,MACHINERY,Packaged,73090090,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
217,C73101090,SKID MOUNTED CHEMICAL STORAGE TANK,BREAK BULK,MACHWOW,MACHINERY,Packaged,73101090,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
218,C73110090,CRYOGENIC STORAGE TANK,BREAK BULK,MACHWOW,MACHINERY,Packaged,73110090,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
219,C73121020,GALVANISED STEEL WIRE ROPE,BREAK BULK,SWRCOIL,IRON AND STEEL CARGO,Packaged,73121020,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
220,C73121090,CABLE MOORING SPIRAL STRAND NOMINAL STEEL,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,73121090,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
221,C73151900,LOAD RING YOKE  ( WIND MILL PARTS MACHINERY),BREAK BULK,MACHWOW,MACHINERY,Packaged,73151900,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
222,C73159000,MACHINERY,BREAK BULK,PROJ,MACHINERY,Packaged,73159000,,3.1.1.37.B,ACTIVE,1000,1000
223,C73181500,SCREWS BOLTS,BREAK BULK,SCRBOLT,IRON AND STEEL CARGO,Packaged,73181500,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
224,C73182200,LOAD RING THREAD,BREAK BULK,GENL,MACHINERY,Packaged,73182200,Other Misc. Cargo,3.1.1.37.B,ACTIVE,900,900
225,C73182400,CYLINDRICAL PIN,BREAK BULK,SHPSTOR,MACHINERY,Packaged,73182400,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
226,C73239990,House hold goods,BREAK BULK,GENL,GENERAL CARGO,,73239990,Other Misc. Cargo,3.1.1.34,ACTIVE,1000,1000
227,C73259910,TEST PIECES,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,73259910,Other Misc. Cargo,3.1.1.23,ACTIVE,2500,2500
228,C73261990,LOAD RING YOKE - WIND MILL PARTS,BREAK BULK,MACHWOW,MACHINERY,Packaged,73261990,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
229,C73262090,LOAD RING YOKE - WIND MILL PARTS,BREAK BULK,MACHWOW,MACHINERY,Packaged,73262090,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
230,C73269010,TEST PIECES,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,73269010,Other Misc. Cargo,3.1.1.23,ACTIVE,2500,2500
231,C73269080,IRON & STEEL ARTICLES - OTHERS,BREAK BULK,STEELOTH,MACHINERY,Packaged,73269080,Other Misc. Cargo,3.1.1.37.B,ACTIVE,2500,2500
232,C73269098,RETAINING RING FOR BORING,BREAK BULK,SHPSTOR,MACHINERY,Packaged,73269098,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
233,C75062000,NICKEL ALLOY PLATE,BREAK BULK,MPLATE,IRON AND STEEL CARGO,Packaged,75062000,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
234,C75071200,COLD FINISHED NICKEL ALLOY SEAMLESS TUBES,BREAK BULK,MACHWOW,MACHINERY,Packaged,75071200,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
235,C76041039,aluminium channels,BREAK BULK,GENL,GENERAL CARGO,Packaged,76041039,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
236,C76061190,ALUMINIUM PANNEL,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,76061190,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
237,C76061200,aluminium alloys SHEET,BREAK BULK,OTHBLK,GENERAL CARGO,Packaged,76061200,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
238,C76151030,HOUSEHOLD ARTICLES,BREAK BULK,HSARTICLES,GENERAL CARGO,Packaged,76151030,Other Misc. Cargo,3.1.1.37.B,ACTIVE,900,900
239,C81089090,TITANIUM PLATE,BREAK BULK,GENL,GENERAL CARGO,Packaged,81089090,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
240,C82029990,CUTTING BLADE,BREAK BULK,MACHWOW,MACHINERY,Packaged,82029990,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
241,C82077090,NEW HOT STRIP MILL ( TOOLS),BREAK BULK,MACHWOW,MACHINERY,Packaged,82077090,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
242,C82079090,DIE TOOLS MACHINERY,BREAK BULK,MACHWOW,MACHINERY,Packaged,82079090,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
243,C83079000,LIQUID TIGHT CONNECTOR,BREAK BULK,STEELOTH,IRON AND STEEL CARGO,Packaged,83079000,Other Misc. Cargo,3.1.1.24,ACTIVE,2500,2500
244,C84021990,STEAM DRUM FOR REACTOR,BREAK BULK,MACHWOW,MACHINERY,Packaged,84021990,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
245,C84022000,AQC BOILER,BREAK BULK,MACHWOW,MACHINERY,Packaged,84022000,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
246,C84029020,WATER BOILERS,BREAK BULK,PROJ,MACHINERY,Packaged,84029020,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
247,C84029090,BOILERS,BREAK BULK,MACHWOW,MACHINERY,Packaged,84029090,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
248,C84041000,STRUCTURES & EQUIPMENT,BREAK BULK,MACHWOW,MACHINERY,Packaged,84041000,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
249,C84042000,CONDENSERS FOR STEAM/OTHR VPR POWR UNITS,BREAK BULK,MACHWOW,GENERAL CARGO,Packaged,84042000,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
250,C84051010,Nitrogen Plant Capacity,BREAK BULK,MACHWOW,MACHINERY,Packaged,84051010,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
251,C84068100,STEAM TURBINE SET,BREAK BULK,PROJ,GENERAL CARGO,Packaged,84068100,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
252,C84068200,STEAM TURBINE,BREAK BULK,MACH,MACHINERY,Packaged,84068200,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
253,C84069000,STEAM TURBINE  ACCESSORIES,BREAK BULK,MACH,MACHINERY,Packaged,84069000,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
254,C84081010,MARINE ENGINES,BREAK BULK,MACH,MACHINERY,Packaged,84081010,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
255,C84099191,HORKOS BEDLESS MACHINING CENTER,BREAK BULK,MACHWOW,MACHINERY,Packaged,84099191,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
256,C84118220,MACHINERY - GTG SKID,BREAK BULK,MACHWOW,MACHINERY,Packaged,84118220,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
257,C84122990,HYDRAULIC MOTOR,BREAK BULK,MACHWOW,GENERAL CARGO,Packaged,84122990,Other Misc. Cargo,,ACTIVE,1000,1000
258,C84134000,CONCRETE PUMPS,BREAK BULK,MACHWOW,MACHINERY,Packaged,84134000,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
259,C84135090,RECIPROCATING PUMP SYSTEM,BREAK BULK,MACHWOW,MACHINERY,Packaged,84135090,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
260,C84137091,CHEMICAL PROCESS PUMPS,BREAK BULK,MACHWOW,MACHINERY,Packaged,84137091,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
261,C84137099,CENTRIFUGAL PUMPS,BREAK BULK,MACHWOW,MACHINERY,Packaged,84137099,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
262,C84139120,CENTRIFUGAL PUMPS,BREAK BULK,MACHWOW,MACHINERY,Packaged,84139120,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
263,C84141010,GAS COMPRESSORS AND FANS,BREAK BULK,MACHWOW,MACHINERY,Packaged,84141010,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
264,C84144090,AIR COMPRESSORS ON WHEEL,BREAK BULK,MACHWW,MACHINERY,Packaged,84144090,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
265,C84145930,ELECTRIC EQUIPMENT PELLET PLANT,BREAK BULK,MACHWOW,ELECTRICAL GOODS,Packaged,84145930,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
266,C84145990,ELECTRIC EQUIPMENTS PELLET PLANT,BREAK BULK,MACHWOW,MACHINERY,Packaged,84145990,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
267,C84148019,TURBO COMPRESSOR,BREAK BULK,MACHWOW,MACHINERY,Packaged,84148019,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
268,C84148090,AIR COMPRESSOR,BREAK BULK,MACHWOW,MACHINERY,Packaged,84148090,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
269,C84149010,MACHINERY SHAFTS,BREAK BULK,MACHWOW,MACHINERY,Packaged,8414901,Other Misc. Cargo,,ACTIVE,1000,1000
270,C84149011,GAS COMPRESSORS AND FANS,BREAK BULK,MACHWOW,MACHINERY,Packaged,84149011,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
271,C84149090,"AIR OR VACUUM PUMPS, AIR OR OTHER GAS COMPRESSORS",BREAK BULK,GENL,PROJECT CARGO,Packaged,84149090,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
272,C84158390,AIR CONDITIONER UNIT,BREAK BULK,MACHWOW,MACHINERY,Packaged,84158390,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
273,C84159000,PRINTED CIRCUIT ASSY,BREAK BULK,MACHWOW,MACHINERY,Packaged,84159000,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
274,C84162000,BURNER SYSTEM TRAVEELING  GRATE,BREAK BULK,MACHWOW,MACHINERY,Packaged,84162000,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
275,C84162090,BURNER SYSTEM TRAVELLING  GRATE,BREAK BULK,MACHWOW,MACHINERY,Packaged,84162090,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
276,C84169000,SEPTUM VALVE-MACHINE,BREAK BULK,MACHWOW,MACHINERY,Packaged,84169000,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
277,C84171000,FURNACES AND OVENS,BREAK BULK,PROJ,MACHINERY,Packaged,84171000,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
278,C84178090,INDUSTRIAL OR LABORATORY FURNACES,BREAK BULK,MACHWOW,MACHINERY,Packaged,84178090,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
279,C84186990,"MACHINES -REFRIGERATOR, AIR CONDITON",BREAK BULK,MACHWOW,MACHINERY,Packaged,84186990,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
280,C84191920,AIR PREHEATER,BREAK BULK,MACHWOW,MACHINERY,Packaged,84191920,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
281,C84192010,AUTO CLAVES- STERILISING MACHINE,BREAK BULK,MACHWOW,MACHINERY,Packaged,84192010,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
282,C84193900,STEAM DRUM DRYER,BREAK BULK,MACHWOW,MACHINERY,Packaged,84193900,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
283,C84194020,DISTILLATION EQUIPMENT,BREAK BULK,MACHWOW,MACHINERY,Packaged,84194020,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
284,C84194090,PLANT EQUIPMENTS (CHLOROMETHENE),BREAK BULK,MACHWOW,MACHINERY,Packaged,84194090,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
285,C84195011,SHELL AND TUBE HEAT EXCHANGE UNIT,BREAK BULK,PROJ,GENERAL CARGO,Packaged,84195011,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
286,C84195012,PLATE HEAT EXCHANGER,BREAK BULK,MACHWOW,MACHINERY,Packaged,84195012,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
287,C84195019,HEAT EXCHANGER,BREAK BULK,MACHWOW,MACHINERY,Packaged,84195019,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
288,C84195091,HEAT EXCHANGER UNIT FOR HEATING WATER,BREAK BULK,MACHWOW,MACHINERY,Packaged,84195091,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
289,C84195092,"MACHINERY, PLANT OR LABORATORY EQUIPMENT",BREAK BULK,MACHWOW,MACHINERY,Packaged,84195092,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
290,C84195099,MACHINENARY -AIR COOLERS - LEAN MEG COOLER-REGENERATION CONDENSER,BREAK BULK,PROJ,MACHINERY,Packaged,84195099,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
291,C84196000,AIR SEPERATION UNIT LIQUEFYING,BREAK BULK,MACHWOW,MACHINERY,Packaged,84196000,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
292,C84198911,GAS FILTER WITH PRESSURE VESSEL,BREAK BULK,MACHWOW,MACHINERY,Packaged,84198911,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
293,C84198914,ABSORPTION COLUMN  EQUIPMENT,BREAK BULK,MACHWOW,MACHINERY,Packaged,84198914,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
294,C84198915,Other distillation or absorption columns(gas/liquid),BREAK BULK,MACHWOW,MACHINERY,Packaged,84198915,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
295,C84198916,STORAGE TANK FOR PROCESS LIQUIDS,BREAK BULK,MACHWOW,MACHINERY,Packaged,84198916,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
296,C84198917,PROMOTOR DOSINER SYSTEM WITH MIXING STATION,BREAK BULK,MACHWOW,MACHINERY,Packaged,84198917,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
297,C84198919,STAIRCASE WITH SAMPLING VESSEL-OTHER,BREAK BULK,MACHWOW,MACHINERY,Packaged,84198919,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
298,C84198940,PIPING FOR COOLING TOWER,BREAK BULK,MACHWOW,MACHINERY,Packaged,84198940,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
299,C84198990,MACHINERY PLANT LAB EQUIP,BREAK BULK,MACHWOW,MACHINERY,Packaged,84198990,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
300,C84199090,TUBE DRAWING MACHINE FOR COLD BOX,BREAK BULK,MACHWOW,MACHINERY,Packaged,84199090,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
301,C84211910,BOWL CENTRIFUGES,BREAK BULK,MACHWOW,MACHINERY,Packaged,84211910,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
302,C84211920,CENTRIFUGE ASSEMBLY MACHINERY,BREAK BULK,MACHWOW,MACHINERY,Packaged,84211920,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
303,C84212110,ION EXCHANGER PLANT,BREAK BULK,GENL,INDUSTRIAL PRODUCTS IN BREAK BULK,Packaged,84212110,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
304,C84212190,MACHINERY-RO WATER PURIFIER,BREAK BULK,MACHWOW,MACHINERY,Packaged,84212190,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
305,C84212900,SUPPLY OF FILTER PRESS ACCESSORIES,BREAK BULK,MACHWOW,MACHINERY,Packaged,84212900,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
306,C84213920,AIR DRYER,BREAK BULK,MACHWOW,MACHINERY,Packaged,84213920,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
307,C84213990,FILTERING OR PURIFYING MACHINERY,BREAK BULK,MACHWOW,MACHINERY,Packaged,84213990,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
